År,April,Maj,Juni,Juli,Augusti,September
1998,18440,77926,15065,0,40,70150
1999,24,335961,15507,55827,41280,16348
2000,261,4027567,884202,430,5015,9814
2001,802,164461,3166,27352,170,15
2002,57170,15578,1687025,16510,92730,50392
2003,303048,84876,31201,72966,24656,45256
2004,18610,48485,3570162,1372,1503,430
2005,30073,8795,555,1992680,1081,1123
2006,980,102720,3033401,2229420,13242,50514
2007,110946,95151,739680,350562,179651,8981
2008,17231,224329,11852257,317386,2412,340
2009,21981,6639,84754,21240,590,5001
2010,10081,35650,8436,7611,16,1
2011,31636,18104,59276,4308,3,0
2012,10420,33145,31200,0,0,1
2013,22470,345161,15111,258492,25726,111863
2014,110827,23400,34383,643046,130985,6330
2015,38796,41,62090,43602,13063,1210
2016,6000,65915,453606,134470,3611,11058
2017,39267,54016,8386,28510,52,10
2018,1200,90991,320555,32292462,67587,211
2019,4453,9239,6927,5757,2711,18
