År▼,"Antal insatser
Totalt","  
Per 1000 inv","Areal
Produktiv skogsmark (m²)","  
Annan trädbevuxen mark (m²)","  
Mark utan träd (m²)"
1998,2,0.007069685893855736,70150,0,0
1999,19,0.06771807894502362,11275,5073,0
2000,9,0.032343967311030376,4805,5009,0
2001,1,0.0036099779791343273,15,0,0
2002,14,0.05060801920212843,50291,101,0
2003,6,0.021698249674526254,45246,10,0
2004,4,0.014490548539714971,10,420,0
2005,6,0.021758444996464253,1000,123,0
2006,4,0.014507944913333164,50010,504,0
2007,8,0.029025680470796535,900,8081,0
2008,4,0.014499740817132893,150,190,0
2009,2,0.007234476621788797,5000,1,0
2010,1,0.0036094958617129947,1,0,0
2011,0,0,0,0,0
2012,1,0.003615917267812912,0,1,0
2013,21,0.0757168765706745,89823,22040,0
2014,10,0.035854759540055146,5760,570,0
2015,2,0.007116728582205332,0,1210,0
2016,6,0.021087333190408074,10801,257,0
2017,1,0.00349448744605385,0,10,0
2018,4,0.013928013064476255,200,11,0
2019,3,0.01041789655723245,17,1,0
