År,April,Maj,Juni,Juli,Augusti,September
1998,0,52701,8107,5040,0,0
1999,25,14476,12155,28115,2106,13119
2000,50,56287,20947,644,102,163
2001,0,1076,29004,21005,4690,0
2002,10,103145,183861,20,158946,26727
2003,36816,197000,2194967,1122392,41055,865435
2004,801,21028,45139,18,1331,203
2005,43,7504,2501,170627,5138,0
2006,10,132309,1051464,1309597,26927967,10600
2007,800,23512,70292,11204,1001,0
2008,40,102060,160120,100,5002,20050
2009,0,61700,111137,255403,264398,43
2010,0,41700,31782,582,6414,745
2011,2020,41613,358619,70861,315,0
2012,0,5000,2446,4160,104271,20
2013,0,1068358,120155,42931,31092,50552
2014,101,63219,83551,1636952,32816,117874
2015,0,1200,29900,220,14100,29926
2016,0,6110,6700,606,1,0
2017,2,13085,298821,17902,85,0
2018,0,112219,253918,5872147,14278,666
2019,5030,11250,84300,56219,138422,7
