År▼,"Antal insatser
Totalt","  
Per 1000 inv","Areal
Produktiv skogsmark (m²)","  
Annan trädbevuxen mark (m²)","  
Mark utan träd (m²)"
1998,0,0,0,0,0
1999,1,0.0038745573318248387,0,25,0
2000,1,0.003902621781312686,0,50,0
2001,0,0,0,0,0
2002,1,0.003942720161493818,0,10,0
2003,6,0.02372723174387244,21010,15806,0
2004,3,0.011877189856879862,400,401,0
2005,2,0.007944704854214666,0,43,0
2006,1,0.003970049943228286,10,0,0
2007,1,0.0039903911381393604,800,0,0
2008,1,0.004005174685693916,40,0,0
2009,0,0,0,0,0
2010,0,0,0,0,0
2011,3,0.01207024884829709,1000,1020,0
2012,0,0,0,0,0
2013,0,0,0,0,0
2014,2,0.008000416021633124,1,100,0
2015,0,0,0,0,0
2016,0,0,0,0,0
2017,1,0.003979386776497742,1,1,0
2018,0,0,0,0,0
2019,2,0.00799702510666032,5000,30,0
