År▼,"Antal insatser
Totalt","  
Per 1000 inv","Areal
Produktiv skogsmark (m²)","  
Annan trädbevuxen mark (m²)","  
Mark utan träd (m²)"
1998,0,0,0,0,0
1999,18,0.06974203197284709,13039,80,0
2000,3,0.011707865343938058,0,163,0
2001,0,0,0,0,0
2002,28,0.11039616452182689,24002,2725,0
2003,54,0.21354508569485198,348820,516615,0
2004,2,0.007918126571253242,203,0,0
2005,0,0,0,0,0
2006,3,0.011910149829684857,10600,0,0
2007,0,0,0,0,0
2008,2,0.008010349371387832,20000,50,0
2009,5,0.02007878916869797,4,39,0
2010,4,0.016089522100969797,225,520,0
2011,0,0,0,0,0
2012,1,0.004021927548997132,20,0,0
2013,30,0.12027133212527462,33930,16622,0
2014,35,0.14000728037857968,86808,31066,0
2015,9,0.036038489106365604,29610,316,0
2016,0,0,0,0,0
2017,0,0,0,0,0
2018,4,0.01596825510884362,616,50,0
2019,3,0.011995537659990483,5,2,0
