År,April,Maj,Juni,Juli,Augusti,September
1998,15997,288500,4139,363,41,17
1999,12902,83240,587,1272,32446,14535
2000,17604,115124,19744,397,2688,48213
2001,224697,233996,33553,49812,9538,175
2002,437259,436053,28011,86,24443,118790
2003,2882240,83585,34586,10083,50531,271134
2004,819410,630506,155520,1599,450248,524
2005,305521,49611,9697,983695,285,10279
2006,15547,195874,688433,86997,35563,788
2007,350831,220295,286503,802,634,166
2008,904463,370974,1637643,326958,1283,55
2009,4727333,81121,186620,246017,263,10246
2010,133053,103433,143485,139643,1,6
2011,727597,605432,8128,1704,8,1
2012,33527,160276,348,706,3,15
2013,198139,189247,26950,44199,8679,4379
2014,643169,124406,1052363,1890177,28621,276
2015,81289,670,5790,1081,59434,8
2016,46985,111955,208781,1740,3435,14656
2017,123581,122502,70305,103093,90207,17
2018,25223,256178,57176,646795,79815,306
2019,644609,58569,42326,51092,4089,229
