Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Mora A;104580;2.0

Parameternamn;Beskrivning;Enhet
Lufttemperatur;medel, 1 gång per månad;degree celsius

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1941-02-01 00:00:00;1975-08-31 23:59:59;170.0;61.0025;14.5874
1975-09-01 00:00:00;1977-03-09 23:59:59;190.0;61.0025;14.5874
1977-04-01 00:00:00;1980-08-31 23:59:59;175.0;61.0025;14.5874
1980-09-01 00:00:00;1983-12-14 23:59:59;190.0;61.0025;14.5874
1984-03-01 00:00:00;1994-12-01 23:59:59;175.0;61.0025;14.5874
1995-09-01 00:00:00;2020-12-31 23:59:59;195.417;60.9601;14.5041

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Lufttemperatur;Kvalitet;;Tidsutsnitt:
1941-01-01 00:00:01;1941-02-01 00:00:00;1941-01;-16.0;G;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1941-02-01 00:00:01;1941-03-01 00:00:00;1941-02;-11.5;G;;Tidsperiod (fr.o.m.) = 1941-02-01 00:00:00 (UTC)
1941-03-01 00:00:01;1941-04-01 00:00:00;1941-03;-5.0;G;;Tidsperiod (t.o.m.) = 2020-11-01 06:00:00 (UTC)
1941-04-01 00:00:01;1941-05-01 00:00:00;1941-04;0.5;G;;Medelvärdet är beräknat för = 1 månad
1941-05-01 00:00:01;1941-06-01 00:00:00;1941-05;7.8;G;;
1941-06-01 00:00:01;1941-07-01 00:00:00;1941-06;14.0;G;;Kvalitetskoderna:
1941-07-01 00:00:01;1941-08-01 00:00:00;1941-07;19.0;G;;Grön (G) = Kontrollerade och godkända värden.
1941-08-01 00:00:01;1941-09-01 00:00:00;1941-08;13.5;G;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1941-09-01 00:00:01;1941-10-01 00:00:00;1941-09;9.5;G;;
1941-10-01 00:00:01;1941-11-01 00:00:00;1941-10;2.5;G;;Orsaker till saknade data:
1941-11-01 00:00:01;1941-12-01 00:00:00;1941-11;-2.0;G;;  stationen eller givaren har varit ur funktion.
1941-12-01 00:00:01;1942-01-01 00:00:00;1941-12;-8.0;G
1942-01-01 00:00:01;1942-02-01 00:00:00;1942-01;-17.1;G
1942-02-01 00:00:01;1942-03-01 00:00:00;1942-02;-12.7;G
1942-03-01 00:00:01;1942-04-01 00:00:00;1942-03;-8.3;G
1942-04-01 00:00:01;1942-05-01 00:00:00;1942-04;3.2;G
1942-05-01 00:00:01;1942-06-01 00:00:00;1942-05;7.3;G
1942-06-01 00:00:01;1942-07-01 00:00:00;1942-06;11.7;G
1942-07-01 00:00:01;1942-08-01 00:00:00;1942-07;14.8;G
1942-08-01 00:00:01;1942-09-01 00:00:00;1942-08;14.5;G
1942-09-01 00:00:01;1942-10-01 00:00:00;1942-09;9.2;G
1942-10-01 00:00:01;1942-11-01 00:00:00;1942-10;4.5;G
1942-11-01 00:00:01;1942-12-01 00:00:00;1942-11;-0.1;G
1942-12-01 00:00:01;1943-01-01 00:00:00;1942-12;-3.4;G
1943-01-01 00:00:01;1943-02-01 00:00:00;1943-01;-7.9;G
1943-02-01 00:00:01;1943-03-01 00:00:00;1943-02;-0.7;G
1943-03-01 00:00:01;1943-04-01 00:00:00;1943-03;1.1;G
1943-04-01 00:00:01;1943-05-01 00:00:00;1943-04;5.2;G
1943-05-01 00:00:01;1943-06-01 00:00:00;1943-05;10.0;G
1943-06-01 00:00:01;1943-07-01 00:00:00;1943-06;14.5;G
1943-07-01 00:00:01;1943-08-01 00:00:00;1943-07;15.4;G
1943-08-01 00:00:01;1943-09-01 00:00:00;1943-08;13.4;G
1943-09-01 00:00:01;1943-10-01 00:00:00;1943-09;9.4;G
1943-10-01 00:00:01;1943-11-01 00:00:00;1943-10;6.5;G
1943-11-01 00:00:01;1943-12-01 00:00:00;1943-11;-0.1;G
1943-12-01 00:00:01;1944-01-01 00:00:00;1943-12;-4.0;G
1944-01-01 00:00:01;1944-02-01 00:00:00;1944-01;-7.5;G
1944-02-01 00:00:01;1944-03-01 00:00:00;1944-02;-5.0;G
1944-03-01 00:00:01;1944-04-01 00:00:00;1944-03;-2.5;G
1944-04-01 00:00:01;1944-05-01 00:00:00;1944-04;1.0;G
1944-05-01 00:00:01;1944-06-01 00:00:00;1944-05;6.7;G
1944-06-01 00:00:01;1944-07-01 00:00:00;1944-06;11.1;G
1944-07-01 00:00:01;1944-08-01 00:00:00;1944-07;17.0;G
1944-08-01 00:00:01;1944-09-01 00:00:00;1944-08;16.2;G
1944-09-01 00:00:01;1944-10-01 00:00:00;1944-09;9.5;G
1944-10-01 00:00:01;1944-11-01 00:00:00;1944-10;5.8;G
1944-11-01 00:00:01;1944-12-01 00:00:00;1944-11;-0.8;G
1944-12-01 00:00:01;1945-01-01 00:00:00;1944-12;-1.1;G
1945-01-01 00:00:01;1945-02-01 00:00:00;1945-01;-8.3;G
1945-02-01 00:00:01;1945-03-01 00:00:00;1945-02;-4.1;G
1945-03-01 00:00:01;1945-04-01 00:00:00;1945-03;0.0;G
1945-04-01 00:00:01;1945-05-01 00:00:00;1945-04;4.4;G
1945-05-01 00:00:01;1945-06-01 00:00:00;1945-05;8.5;G
1945-06-01 00:00:01;1945-07-01 00:00:00;1945-06;13.2;G
1945-07-01 00:00:01;1945-08-01 00:00:00;1945-07;17.3;G
1945-08-01 00:00:01;1945-09-01 00:00:00;1945-08;15.6;G
1945-09-01 00:00:01;1945-10-01 00:00:00;1945-09;8.9;G
1945-10-01 00:00:01;1945-11-01 00:00:00;1945-10;4.0;G
1945-11-01 00:00:01;1945-12-01 00:00:00;1945-11;-3.6;G
1945-12-01 00:00:01;1946-01-01 00:00:00;1945-12;-5.4;G
1946-01-01 00:00:01;1946-02-01 00:00:00;1946-01;-6.7;G
1946-02-01 00:00:01;1946-03-01 00:00:00;1946-02;-8.2;G
1946-03-01 00:00:01;1946-04-01 00:00:00;1946-03;-3.8;G
1946-04-01 00:00:01;1946-05-01 00:00:00;1946-04;4.8;G
1946-05-01 00:00:01;1946-06-01 00:00:00;1946-05;9.2;G
1946-06-01 00:00:01;1946-07-01 00:00:00;1946-06;12.6;G
1946-07-01 00:00:01;1946-08-01 00:00:00;1946-07;16.9;G
1946-08-01 00:00:01;1946-09-01 00:00:00;1946-08;13.7;G
1946-09-01 00:00:01;1946-10-01 00:00:00;1946-09;10.5;G
1946-10-01 00:00:01;1946-11-01 00:00:00;1946-10;2.9;G
1946-11-01 00:00:01;1946-12-01 00:00:00;1946-11;0.5;G
1946-12-01 00:00:01;1947-01-01 00:00:00;1946-12;-3.1;G
1947-01-01 00:00:01;1947-02-01 00:00:00;1947-01;-5.0;G
1947-02-01 00:00:01;1947-03-01 00:00:00;1947-02;-16.5;G
1947-03-01 00:00:01;1947-04-01 00:00:00;1947-03;-7.2;G
1947-04-01 00:00:01;1947-05-01 00:00:00;1947-04;2.9;G
