Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Norsjö A;149560;2.0

Parameternamn;Beskrivning;Enhet
Lufttemperatur;medel, 1 gång per månad;degree celsius

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1995-12-01 00:00:00;2021-01-31 23:59:59;309.576;64.9253;19.3744

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Lufttemperatur;Kvalitet;;Tidsutsnitt:
1995-11-01 00:00:01;1995-12-01 00:00:00;1995-11;-6.1;Y;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1996-01-01 00:00:01;1996-02-01 00:00:00;1996-01;-7.2;Y;;Tidsperiod (fr.o.m.) = 1995-12-01 00:00:00 (UTC)
1996-02-01 00:00:01;1996-03-01 00:00:00;1996-02;-12.7;Y;;Tidsperiod (t.o.m.) = 2020-11-01 06:00:00 (UTC)
1996-03-01 00:00:01;1996-04-01 00:00:00;1996-03;-5.1;Y;;Medelvärdet är beräknat för = 1 månad
1996-04-01 00:00:01;1996-05-01 00:00:00;1996-04;0.4;Y;;
1996-05-01 00:00:01;1996-06-01 00:00:00;1996-05;5.1;Y;;Kvalitetskoderna:
1996-06-01 00:00:01;1996-07-01 00:00:00;1996-06;11.1;Y;;Grön (G) = Kontrollerade och godkända värden.
1996-07-01 00:00:01;1996-08-01 00:00:00;1996-07;12.8;Y;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1996-08-01 00:00:01;1996-09-01 00:00:00;1996-08;14.6;Y;;
1996-09-01 00:00:01;1996-10-01 00:00:00;1996-09;6.9;Y;;Orsaker till saknade data:
1996-10-01 00:00:01;1996-11-01 00:00:00;1996-10;2.7;Y;;  stationen eller givaren har varit ur funktion.
1996-11-01 00:00:01;1996-12-01 00:00:00;1996-11;-7.3;Y
1996-12-01 00:00:01;1997-01-01 00:00:00;1996-12;-9.5;Y
