Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Hällum A;83190;2.0

Parameternamn;Beskrivning;Enhet
Lufttemperatur;medel, 1 gång per månad;degree celsius

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1996-02-01 00:00:00;2020-12-31 23:59:59;70.071;58.3218;13.0379

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Lufttemperatur;Kvalitet;;Tidsutsnitt:
1996-01-01 00:00:01;1996-02-01 00:00:00;1996-01;-3.9;Y;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1996-02-01 00:00:01;1996-03-01 00:00:00;1996-02;-6.1;Y;;Tidsperiod (fr.o.m.) = 1996-02-01 00:00:00 (UTC)
1996-03-01 00:00:01;1996-04-01 00:00:00;1996-03;-0.7;Y;;Tidsperiod (t.o.m.) = 2020-11-01 06:00:00 (UTC)
1996-04-01 00:00:01;1996-05-01 00:00:00;1996-04;5.8;Y;;Medelvärdet är beräknat för = 1 månad
1996-05-01 00:00:01;1996-06-01 00:00:00;1996-05;8.2;Y;;
1996-06-01 00:00:01;1996-07-01 00:00:00;1996-06;13.8;Y;;Kvalitetskoderna:
1996-07-01 00:00:01;1996-08-01 00:00:00;1996-07;14.5;Y;;Grön (G) = Kontrollerade och godkända värden.
1996-08-01 00:00:01;1996-09-01 00:00:00;1996-08;17.3;Y;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1996-09-01 00:00:01;1996-10-01 00:00:00;1996-09;9.4;Y;;
1996-10-01 00:00:01;1996-11-01 00:00:00;1996-10;8.0;Y;;Orsaker till saknade data:
1996-11-01 00:00:01;1996-12-01 00:00:00;1996-11;3.0;Y;;  stationen eller givaren har varit ur funktion.
1996-12-01 00:00:01;1997-01-01 00:00:00;1996-12;-5.2;Y
1997-01-01 00:00:01;1997-02-01 00:00:00;1997-01;-3.6;Y
1997-02-01 00:00:01;1997-03-01 00:00:00;1997-02;0.2;Y
1997-03-01 00:00:01;1997-04-01 00:00:00;1997-03;2.3;Y
1997-04-01 00:00:01;1997-05-01 00:00:00;1997-04;4.1;Y
1997-05-01 00:00:01;1997-06-01 00:00:00;1997-05;9.3;Y
1997-06-01 00:00:01;1997-07-01 00:00:00;1997-06;15.1;Y
1997-07-01 00:00:01;1997-08-01 00:00:00;1997-07;17.1;Y
1997-08-01 00:00:01;1997-09-01 00:00:00;1997-08;19.3;Y
1997-09-01 00:00:01;1997-10-01 00:00:00;1997-09;12.0;Y
1997-10-01 00:00:01;1997-11-01 00:00:00;1997-10;4.9;Y
1997-11-01 00:00:01;1997-12-01 00:00:00;1997-11;1.9;Y
1997-12-01 00:00:01;1998-01-01 00:00:00;1997-12;-0.4;Y
1998-01-01 00:00:01;1998-02-01 00:00:00;1998-01;-0.0;Y
1998-02-01 00:00:01;1998-03-01 00:00:00;1998-02;3.1;Y
1998-03-01 00:00:01;1998-04-01 00:00:00;1998-03;0.9;Y
1998-04-01 00:00:01;1998-05-01 00:00:00;1998-04;4.7;Y
1998-05-01 00:00:01;1998-06-01 00:00:00;1998-05;11.1;Y
1998-06-01 00:00:01;1998-07-01 00:00:00;1998-06;13.1;Y
1998-07-01 00:00:01;1998-08-01 00:00:00;1998-07;14.7;Y
1998-08-01 00:00:01;1998-09-01 00:00:00;1998-08;13.6;Y
1998-09-01 00:00:01;1998-10-01 00:00:00;1998-09;12.3;Y
1998-10-01 00:00:01;1998-11-01 00:00:00;1998-10;6.2;Y
1998-11-01 00:00:01;1998-12-01 00:00:00;1998-11;-1.2;Y
1998-12-01 00:00:01;1999-01-01 00:00:00;1998-12;-1.2;Y
1999-01-01 00:00:01;1999-02-01 00:00:00;1999-01;-1.3;Y
1999-02-01 00:00:01;1999-03-01 00:00:00;1999-02;-1.5;Y
1999-03-01 00:00:01;1999-04-01 00:00:00;1999-03;1.5;Y
1999-04-01 00:00:01;1999-05-01 00:00:00;1999-04;7.1;Y
1999-05-01 00:00:01;1999-06-01 00:00:00;1999-05;9.5;Y
1999-06-01 00:00:01;1999-07-01 00:00:00;1999-06;14.0;Y
1999-07-01 00:00:01;1999-08-01 00:00:00;1999-07;16.9;Y
1999-08-01 00:00:01;1999-09-01 00:00:00;1999-08;15.2;Y
1999-09-01 00:00:01;1999-10-01 00:00:00;1999-09;14.8;Y
1999-10-01 00:00:01;1999-11-01 00:00:00;1999-10;7.4;Y
1999-11-01 00:00:01;1999-12-01 00:00:00;1999-11;4.4;Y
1999-12-01 00:00:01;2000-01-01 00:00:00;1999-12;-1.7;Y
